"MonthlyIncome","ActiveSinceDays","Age","Graduate","Married","Single","NoOfChildren","NoOfTeenager","NoOfDaysSinceLastPurchase","NoOfDealsWithDiscount","NoOfWebPurchase","NoOfCatalogPurchase","NoOfStorePurchase","NoOfWebVisitsMonth","TotalNoOfCampaignAccepted","CustomerComplain","Cluster"
58138,2822,63,1,0,1,0,0,58,3,8,10,4,7,0,0,0
46344,2272,66,1,0,1,0,0,38,2,1,1,2,5,0,0,1
71613,2471,55,1,1,0,0,0,26,1,8,2,10,4,0,0,0
26646,2298,36,1,1,0,1,0,26,2,2,0,4,6,0,0,1
58293,2320,39,1,1,0,1,0,94,5,5,3,6,5,0,0,0
62513,2452,53,1,1,0,0,1,16,2,6,4,10,6,0,0,0
55635,2752,49,1,0,1,0,0,34,4,7,3,7,6,0,0,0
33454,2576,35,1,1,0,1,0,32,2,4,0,4,8,0,0,1
30351,2547,46,1,1,0,1,0,19,1,3,0,2,9,0,0,1
5648,2267,70,1,1,0,1,1,68,1,1,0,0,20,1,0,1
7500,2752,44,0,1,0,0,0,59,1,2,0,3,8,0,0,1
63033,2385,61,1,0,1,0,0,82,1,3,4,8,2,0,0,0
59354,2385,68,1,0,1,0,0,53,3,6,1,5,6,0,0,0
17323,2786,33,1,1,0,0,0,38,1,1,0,3,8,0,0,1
82800,2741,74,1,0,1,0,0,23,1,7,6,12,3,2,0,0
41850,2711,40,1,1,0,1,1,51,3,3,0,3,8,0,0,1
37760,2826,74,1,1,0,0,0,20,2,4,1,6,7,0,0,1
76995,2617,71,1,1,0,0,1,91,2,11,4,9,5,1,0,0
33812,2762,35,0,0,1,0,0,86,2,2,1,3,6,0,0,1
37040,2849,38,1,1,0,0,0,41,1,4,2,5,8,0,0,1
2447,2698,41,1,1,0,1,0,42,15,0,28,0,1,0,0,1
58607,2712,71,1,1,0,0,1,63,3,2,3,9,8,1,0,0
65324,2328,66,1,1,0,0,1,0,3,6,2,9,4,0,0,0
40689,2627,69,1,1,0,0,1,69,7,7,1,5,8,0,0,1
18589,2702,51,1,0,1,0,0,89,2,2,1,3,7,0,0,1
53359,2557,44,1,1,0,1,1,4,4,5,1,4,7,0,0,0
38360,2553,31,1,1,0,1,0,26,2,2,1,4,3,0,0,1
84618,2378,55,1,1,0,0,0,96,1,6,9,10,2,1,0,0
10979,2197,31,1,0,1,0,0,34,2,3,0,3,5,0,0,1
38620,2573,57,1,1,0,0,0,56,1,2,5,3,3,0,0,1
40548,2786,50,1,1,0,0,1,31,2,2,1,4,5,1,0,1
46610,2767,68,1,0,1,0,0,8,6,4,1,6,6,0,0,1
68657,2653,74,1,1,0,0,0,4,1,3,5,9,7,0,0,0
49389,2463,69,1,0,1,0,0,55,1,2,0,3,7,0,0,1
67353,2339,50,1,1,0,0,1,37,5,5,6,12,2,0,0,0
23718,2459,44,0,1,0,1,0,76,3,3,1,2,7,0,0,1
42429,2297,47,1,0,1,0,0,99,2,1,1,3,5,0,0,1
48948,2672,77,1,0,1,0,0,53,2,7,10,5,6,1,0,1
80011,2585,40,1,1,0,0,1,3,2,8,6,5,4,0,0,0
20559,2633,35,1,1,0,1,0,88,2,2,0,3,8,0,0,1
21994,2711,63,1,1,0,0,1,4,1,0,0,3,5,0,0,1
7500,2429,45,1,1,0,1,0,19,3,2,0,3,5,0,0,1
79941,2160,44,1,0,1,0,0,72,1,2,4,9,1,0,0,0
7500,2756,24,0,1,0,0,0,24,3,3,1,3,9,0,0,1
41728,2560,52,1,1,0,1,0,92,1,2,0,2,10,0,0,1
72550,2757,66,1,1,0,1,1,39,9,5,2,12,8,0,0,0
65486,2207,63,1,0,1,0,0,29,1,4,2,10,2,0,0,0
79143,2846,56,1,1,0,0,0,2,1,6,9,13,3,0,0,0
35790,2702,43,1,0,1,0,0,54,2,2,0,3,7,0,0,1
82582,2181,43,1,0,1,0,0,54,1,4,9,7,1,2,0,0
66373,2541,42,1,1,0,1,1,57,7,4,2,10,3,0,0,0
82384,2746,65,1,1,0,0,0,55,1,3,10,13,1,1,0,0
70287,2612,54,1,0,1,0,0,30,1,5,5,10,3,0,0,0
27938,2221,32,1,0,1,0,0,31,1,1,0,4,3,0,0,1
55954,2277,52,1,1,0,0,1,63,3,8,2,6,7,0,0,0
75777,2519,38,1,0,1,0,0,12,1,3,6,11,1,2,0,0
66653,2819,45,1,1,0,1,1,18,4,4,2,12,3,0,0,0
61823,2655,68,1,0,1,0,0,26,4,8,2,10,7,0,0,0
67680,2542,69,1,0,1,0,0,8,1,7,3,8,5,0,0,0
70666,2364,72,1,1,0,0,0,29,1,7,4,4,4,0,0,0
25721,2563,49,1,1,0,1,0,75,1,1,1,2,7,0,0,1
32474,2208,53,1,1,0,1,1,0,1,1,0,2,7,0,0,1
88194,2261,41,0,0,1,0,0,19,1,11,10,10,5,2,0,0
69096,2434,62,1,1,0,0,1,4,1,5,2,10,4,0,0,0
74854,2606,50,1,1,0,1,2,90,7,2,5,5,5,0,0,0
66991,2815,66,1,1,0,0,0,1,3,4,8,6,3,0,0,0
65031,2628,61,1,1,0,0,1,29,4,10,3,13,7,0,0,0
60631,2609,45,1,1,0,1,1,88,5,9,2,8,7,1,0,0
28332,2219,68,1,1,0,0,0,58,1,2,1,4,2,0,0,1
40246,2716,43,1,0,1,0,0,68,1,1,0,2,6,0,0,1
75251,2830,48,1,1,0,0,0,34,1,7,6,5,5,0,0,0
75825,2784,44,1,0,1,0,0,40,0,5,8,9,4,1,0,0
26326,2457,44,0,1,0,0,0,12,1,0,0,3,3,0,1,1
56046,2702,55,1,1,0,0,0,9,2,10,1,8,8,1,0,0
29760,2828,35,1,0,1,0,0,87,4,3,1,4,8,0,0,1
26304,2530,51,1,1,0,1,0,5,1,1,0,2,7,0,0,1
23559,2520,47,0,1,0,1,0,87,3,3,0,3,7,0,0,1
38620,2573,57,1,1,0,0,0,56,1,2,5,3,3,0,0,1
81361,2283,33,1,0,1,0,0,18,1,3,10,13,1,0,0,0
29440,2481,60,1,1,0,1,1,95,2,1,0,4,7,0,0,1
36138,2507,50,1,1,0,1,1,48,5,3,1,4,7,1,0,1
50388,2191,63,1,0,1,0,0,3,4,6,1,6,7,2,0,1
79593,2207,47,1,1,0,0,0,70,1,5,6,7,2,1,0,0
54178,2318,53,1,1,0,0,1,79,1,2,2,5,2,0,0,0
42394,2257,48,1,0,1,0,0,69,1,1,0,3,7,0,0,1
23626,2195,50,1,1,0,1,0,84,3,3,1,3,5,0,0,1
30096,2197,37,1,1,0,1,0,30,1,2,0,3,6,0,0,1
47916,2743,60,1,0,1,0,0,72,5,7,4,6,6,1,0,1
51813,2603,48,1,0,1,0,0,37,2,2,0,3,7,0,0,1
78497,2369,69,0,1,0,0,0,44,1,5,7,12,2,1,0,0
50150,2533,37,1,1,0,0,0,32,2,5,2,7,5,0,0,1
47823,2500,60,0,0,1,0,0,0,2,2,0,3,8,0,0,1
34554,2250,61,1,0,1,0,0,43,2,2,0,3,6,0,0,1
85693,2594,41,1,1,0,0,1,59,2,9,5,11,5,0,0,0
65846,2567,75,1,1,0,0,0,68,1,6,3,6,4,0,0,0
87195,2211,61,1,1,0,0,0,35,1,3,11,5,1,0,0,0
24594,2360,41,0,1,0,1,0,94,1,1,0,3,5,0,0,1
49096,2437,56,1,1,0,1,1,15,4,4,1,4,7,0,0,1
52413,2671,51,1,1,0,0,2,56,4,6,4,12,6,0,0,0
38557,2716,42,1,0,1,0,0,17,2,3,1,3,7,0,0,1
89058,2728,60,1,1,0,0,0,18,1,5,4,4,2,0,0,0
77298,2398,41,1,1,0,0,1,46,1,6,6,11,3,0,0,0
